1,"2-комн. квартира, 62 м²",35900000,Раменки,Деловой центр ,9,62,7,33,Дизайнерский,2011,Монолитный
2,"2-комн. квартира, 44,1 м²",9490000,Академический,Академическая ,15,44,2,9,Косметический,1966,Панельный
3,"2-комн. квартира, 62 м²",35900000,Раменки,Деловой центр ,9,62,7,33,Дизайнерский,2011,Монолитный
4,"2-комн. квартира, 44,1 м²",9490000,Академический,Академическая ,15,44,2,9,Косметический,1966,Панельный
5,"2-комн. квартира, 52 м²",13390000,Проспект Вернадского,Проспект Вернадского ,11,52,20,20,Косметический,2017,Панельный
6,"2-комн. квартира, 54 м²",9500000,Бибирево,Бибирево ,4,54,8,12,Евроремонт,1982,Панельный
7,"2-комн. квартира, 61 м²",11100000,Южное Медведково,Бабушкинская ,5,61,8,12,Косметический,2017,Панельный
8,"2-комн. квартира, 74 м²",24800000,Хорошевский,ЦСКА ,8,74,3,18,Дизайнерский,2006,Монолитный
9,"2-комн. квартира, 74 м²",24800000,Хорошевский,ЦСКА ,5,74,3,18,Евроремонт,2006,Монолитный
10,"2-комн. квартира, 40 м²",8900000,Нагатинский затон,Коломенская ,14,40,4,9,Косметический,1965,Блочный
11,"2-комн. квартира, 49,5 м²",20500000,Тропарево-Никулино,Юго-Западная ,12,49,12,37,Евроремонт,2006,Монолитный
12,"2-комн. квартира, 50 м²",22900000,Пресненский,Улица 1905 года,7,50,33,44,Дизайнерский,2018,Монолитный
13,"2-комн. квартира, 73 м²",22990000,Обручевский,Калужская ,5,73,33,40,Евроремонт,2010,Монолитный
14,"2-комн. квартира, 45,1 м²",9490000,Ростокино,Ростокино ,15,45,2,9,Евроремонт,1972,Панельный
15,"2-комн. квартира, 75,17 м²",40200000,Пресненский,Улица 1905 года,9,75,6,21,Евроремонт,2017,Монолитный
16,"2-комн. квартира, 43 м²",19990000,Пресненский,Улица 1905 года,7,43,7,44,Дизайнерский,2018,Монолитный
17,"2-комн. квартира, 66,2 м²",13100000,Ховрино,Речной вокзал ,4,66,14,19,Дизайнерский,2014,Монолитный
18,"2-комн. квартира, 65 м²",26800000,Тропарево-Никулино,Тропарево ,10,65,11,31,Евроремонт,2006,Монолитный
19,"2-комн. квартира, 60 м²",23000000,Раменки,Минская ,10,60,11,22,Дизайнерский,2005,Монолитный
20,"2-комн. квартира, 80 м²",35000000,Донской,Шаболовская ,10,80,6,17,Евроремонт,2017,Монолитный
21,"2-комн. квартира, 90,9 м²",38500000,Тропарево-Никулино,Озерная ,4,90,19,37,Евроремонт,2010,Монолитный
22,"2-комн. квартира, 116 м²",43999999,Очаково-Матвеевское,Славянский бульвар ,18,116,19,31,Дизайнерский,2008,Монолитный
